Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Final consumption expenditure (constant 2015 US$);NE.CON.TOTL.KD;23648099154;23615108119;24135555385;24699663972;24865256252;27338133986;30075263527;33466518828;34619720875;38354959883;43002560054;51309042160;57678246801;63864587333;87322918302;1.11063E+11;1.15885E+11;1.19134E+11;1.21399E+11;1.20137E+11;1.12296E+11;1.13907E+11;1.18319E+11;1.29877E+11;1.32041E+11;1.35518E+11;1.17506E+11;1.10044E+11;1.10504E+11;1.09836E+11;1.28531E+11;1.39813E+11;1.44553E+11;1.53115E+11;1.482E+11;1.40147E+11;1.44113E+11;1.52099E+11;1.57007E+11;1.54933E+11;1.71606E+11;1.80743E+11;1.97485E+11;2.01414E+11;2.19016E+11;2.328E+11;2.49035E+11;2.69364E+11;2.61819E+11;2.65512E+11;2.7298E+11;2.80734E+11;2.77257E+11;2.76418E+11;2.7701E+11;2.81628E+11;2.95141E+11;2.9807E+11;2.92908E+11;2.78137E+11;2.78701E+11;2.92348E+11;3.00825E+11
Households and NPISHs Final consumption expenditure (constant LCU);NE.CON.PRVT.KN;5.98263E+14;6.00525E+14;6.12563E+14;6.19926E+14;5.98024E+14;6.25469E+14;6.82822E+14;7.552E+14;7.44373E+14;8.04001E+14;8.86892E+14;1.0176E+15;1.07476E+15;1.21763E+15;1.48792E+15;1.95624E+15;1.94953E+15;2.08801E+15;2.13034E+15;2.20275E+15;2.10247E+15;2.16438E+15;2.32194E+15;2.65724E+15;2.80016E+15;2.84808E+15;2.55955E+15;2.4029E+15;2.42114E+15;2.42745E+15;2.94447E+15;3.20837E+15;3.35507E+15;3.46026E+15;3.30767E+15;3.10687E+15;3.23051E+15;3.50082E+15;3.6042E+15;3.6076E+15;3.99001E+15;4.23406E+15;4.70359E+15;4.77491E+15;5.19543E+15;5.56501E+15;5.9857E+15;6.74913E+15;6.50786E+15;6.64253E+15;6.93258E+15;7.23721E+15;7.10095E+15;7.03023E+15;7.0767E+15;7.05009E+15;7.35406E+15;7.46822E+15;7.33882E+15;6.98525E+15;7.02317E+15;7.29763E+15;7.56399E+15
Households and NPISHs Final consumption expenditure (current LCU);NE.CON.PRVT.CN;2.60326E+11;2.67717E+11;2.77093E+11;2.83491E+11;2.8669E+11;3.0103E+11;3.26842E+11;3.6225E+11;3.70523E+11;4.27663E+11;4.79949E+11;5.8099E+11;6.60522E+11;8.29514E+11;1.1483E+12;1.60718E+12;1.81787E+12;2.39676E+12;2.76089E+12;3.33912E+12;3.8954E+12;5.15432E+12;6.58161E+12;8.53246E+12;9.78597E+12;1.05937E+13;1.14794E+13;1.33845E+13;1.64419E+13;1.94822E+13;2.57836E+13;3.35655E+13;4.40214E+13;5.56436E+13;7.17846E+13;9.87497E+13;1.28142E+14;1.65919E+14;2.04791E+14;2.47332E+14;3.12321E+14;3.70784E+14;4.76948E+14;5.59141E+14;6.98655E+14;8.3639E+14;1.01197E+15;1.3452E+15;1.61964E+15;1.82764E+15;2.16147E+15;2.91514E+15;3.77458E+15;4.98214E+15;5.80247E+15;6.46609E+15;7.35406E+15;8.18681E+15;1.03942E+16;1.34293E+16;1.88739E+16;2.88093E+16;4.46419E+16
Military expenditure (current USD);MS.MIL.XPND.CD;98679867.99;105940594.1;109900990.1;128712871.3;155445544.6;200000000;256105610.6;331023102.3;437293729.4;566006600.7;620132013.2;402310231;371947194.7;480857166.9;3877862663;5951043742;7186307294;7617207960;8113739881;4993779939;4874889400;8121567621;9703525315;10550357293;9926303622;10706415945;11741433342;15263376570;18889008563;16301812932;16474401698;17549594830;19732558015;1448177703;1703171536;2501544190;3550986964;4642384616;5479362942;6650285144;8327053824;10378791766;3243891033;3717068450;5243621133;6796744965;8751474767;9330901882;11081950209;12584623339;13561272454;14277667361;16493963287;11997186984;9901118855;10588769671;12263957415;13931196490;11230852288;4598301891;3033332821;5391957618;6846596651
Net official development assistance received (current US$);DT.ODA.ODAT.CD;27129999.16;129800003.1;56409999.85;27350000.38;4269999.981;21420000.08;11340000.15;32130001.07;8380000.114;17040000.92;20950000.76;7550000.191;8880000.114;-3740000.01;9079999.924;1519999.981;-5460000.038;38689998.63;243050003.1;5840000.153;28159999.85;4840000.153;-629999.9952;42720001.22;7800000.191;11430000.31;26309999.47;70879997.25;81330001.83;91290000.92;106449996.9;193399993.9;105699996.9;140479995.7;130039993.3;186940002.4;164500000;200759994.5;164559997.6;161490005.5;129869995.1;114559997.6;114540000.9;131050003.1;188649993.9;100669998.2;117239997.9;103769996.6;100470001.2;92569999.69;112440002.4;105790000.9;151789993.3;131610000.6;81169998.17;110900001.5;116190002.4;140279998.8;166460006.7;204440002.4;235119995.1;303769989;null
Net official development assistance and official aid received (current US$);DT.ODA.ALLD.CD;27129999.16;129800003.1;56409999.85;27350000.38;4269999.981;21420000.08;11340000.15;32130001.07;8380000.114;17040000.92;20950000.76;7550000.191;8880000.114;-3740000.01;9079999.924;1519999.981;-5460000.038;38689998.63;243050003.1;5840000.153;28159999.85;4840000.153;-629999.9952;42720001.22;7800000.191;11430000.31;26309999.47;70879997.25;81330001.83;91290000.92;106449996.9;193399993.9;105699996.9;140479995.7;130039993.3;186940002.4;164500000;200759994.5;164559997.6;161490005.5;129869995.1;114559997.6;114540000.9;131050003.1;188649993.9;100669998.2;117239997.9;103769996.6;100470001.2;92569999.69;112440002.4;105790000.9;151789993.3;131610000.6;81169998.17;110900001.5;116190002.4;140279998.8;166460006.7;204440002.4;235119995.1;303769989;null
Merchandise exports (current US$);TX.VAL.MRCH.CD.WT;636000000;756000000;822000000;919000000;1252000000;1305000000;1310000000;1929000000;1881000000;2100000000;2403000000;3824000000;1799000000;2669000000;8402000000;7963000000;8935000000;9216000000;8560000000;8310000000;12338000000;11831000000;20452000000;21507000000;17087000000;14175000000;7171000000;11916000000;10709000000;13081000000;19305000000;18661000000;19868000000;18080000000;19434000000;18360000000;22391000000;18381000000;13118000000;21030000000;28739000000;25689000000;28237000000;33750000000;41697000000;56252000000;77012000000;88733000000;1.13668E+11;78830000000;1.01316E+11;1.32E+11;1.08341E+11;90765000000;95160000000;70275000000;72903000000;92764000000;1.03422E+11;65718000000;46916000000;71646000000;77200000000
Merchandise imports by the reporting economy, residual (% of total merchandise imports);TM.VAL.MRCH.RS.ZS;7.200574609;13.46633416;9.661928544;12.76923077;11.87023471;6.944931603;7.690659811;6.5664205;7.43718593;8.147934123;null;null;null;9.937851435;7.57860592;5.255221875;4.959376722;5.233034641;7.954107212;6.683857659;13.84459397;8.805031447;10.36724356;7.766668508;7.879122395;6.916199158;7.022982362;8.101184758;10.7086036;8.019052081;16.70797368;14.68823183;12.38131905;4.547586964;6.418821535;6.004223179;7.011311768;11.56728146;10.78684633;12.0476228;1.211626379;1.5304376;1.470974033;4.265267202;1.077376273;1.777591156;1.784245958;2.018155594;8.611305576;2.274681332;2.238683343;2.668414282;1.988769229;1.971185407;1.569142451;1.320887287;1.221994513;1.144810365;0.900782906;0.827397533;0.91890059;null;null
Merchandise imports from high-income economies (% of total merchandise imports);TM.VAL.MRCH.HI.ZS;85.86819896;78.62011638;85.9008836;82.98076923;83.19629242;88.26142874;86.0646958;87.43660468;87.78894472;86.96908408;null;null;null;82.97425274;83.41627041;85.53726597;87.12470997;88.42612829;88.3821828;87.28210418;79.2238916;79.97040326;73.89615872;76.90438049;76.74210018;73.7815568;76.60074826;70.65855481;70.32187003;72.72585305;71.71502436;76.05896723;78.73518581;79.13709637;72.92157694;67.91764801;63.10312893;62.5994795;67.36717168;65.63904439;68.4764315;68.88317912;74.48999903;68.37489001;77.0889157;75.59625489;75.71193643;73.53931068;67.64908439;72.73903334;72.97917835;60.74774287;56.65245887;53.89938332;53.53152999;51.56522251;48.43185331;54.68268467;52.56358953;39.0990418;38.0751275;null;null
Merchandise trade (% of GDP);TG.VAL.TOTL.GD.ZS;28.48206059;30.74352047;28.82669342;29.27792473;35.78169576;34.91831997;33.0047164;40.34209417;37.86309307;37.22638454;37.03452271;41.48763304;24.53148927;22.38412061;29.93999531;35.35599773;32.07538807;28.89077488;28.34821941;19.9663958;26.05278418;26.39222028;25.73030565;25.47050818;20.00101942;14.32427577;8.461243489;16.03313234;16.38497515;23.13347833;31.74902951;null;null;61.97796422;46.22400416;33.43938903;32.11273867;28.59659343;24.8837215;30.17520219;38.90531579;33.41615511;37.98116362;38.13090286;38.76640117;42.5224512;44.22999676;38.20578145;41.48774991;31.12366131;34.24761532;30.94549645;25.71799177;27.86988831;32.63936072;28.22350664;25.32630883;29.23431704;46.59185;37.91509875;35.73646987;33.59093253;34.13920693
Urban population (% of total population);SP.URB.TOTL.IN.ZS;33.735;34.389;35.051;35.718;36.391;37.068;37.752;38.557;39.437;40.321;41.212;42.11;43.014;43.92;44.832;45.747;46.666;47.47;48.21;48.951;49.693;50.434;51.175;51.916;52.657;53.395;54.133;54.717;55.257;55.794;56.33;56.865;57.653;58.519;59.38;60.236;61.087;61.853;62.588;63.318;64.042;64.758;65.468;66.172;66.869;67.558;68.239;68.864;69.458;70.045;70.626;71.2;71.755;72.295;72.83;73.358;73.88;74.394;74.898;75.391;75.874;76.345;76.807
Population, male (% of total population);SP.POP.TOTL.MA.ZS;51.31433237;51.347908;51.38124446;51.41213583;51.44115169;51.47146235;51.49896648;51.52181269;51.53759016;51.54411577;51.5460213;51.54784765;51.55156619;51.55313596;51.55139901;51.56697622;51.57715509;51.57081573;51.56582433;51.54874156;51.51116294;51.63886102;51.71515408;51.59128787;51.49268432;51.41389527;51.32608173;51.23196012;51.14652386;51.08436175;51.03034793;50.97984454;50.94432872;50.92476617;50.90632277;50.87790801;50.84640216;50.81068371;50.7757855;50.74138409;50.70688971;50.67339708;50.64690948;50.66510117;50.72019974;50.76897272;50.80321978;50.8167834;50.81726149;50.81619024;50.81485085;50.80144968;50.77589494;50.75055321;50.71937465;50.68384246;50.65722875;50.63595706;50.61339168;50.58922278;50.56110255;50.52895228;50.49610861
Population, total;SP.POP.TOTL;21388806;21983622;22605050;23259094;23948624;24667026;25398700;26133341;26875302;27643685;28449705;29273682;30111574;30981898;31895534;32856976;33841060;34876497;35993661;37205013;38520664;40476251;42500030;44027986;45628402;47266160;48913237;50541490;52111868;53644736;55793629;57990883;59372016;59755430;59985749;60794809;61598378;62480533;63461421;64474745;65544383;66674851;67327117;67954699;69061674;70182594;71275760;72319418;73318394;74322685;75373855;76342971;77324451;78458928;79961672;81790841;83306231;84505076;85617562;86564202;87290193;87923432;88550570
Age dependency ratio, young (% of working-age population);SP.POP.DPND.YG;81.64668223;83.28456994;84.55367979;85.53299286;85.72652647;85.27284616;84.89121223;84.6453446;84.44644976;84.20546553;83.83347411;83.33966556;82.673206;81.82342051;80.9578448;80.21604915;79.91322133;79.9343368;80.07199187;80.48733759;81.10295607;80.0382208;79.32691838;80.40972393;81.37431736;82.23166333;82.94801039;83.47822061;83.80823839;83.77312068;81.93297581;79.70928112;78.56262656;78.3671955;77.26109129;74.08878715;70.34079237;66.02463041;61.41351807;56.93715055;52.68729111;48.75433927;45.53359323;42.61141879;39.73514348;37.21205732;35.00950502;33.20279539;31.86458071;31.02049994;30.61514527;30.58045297;30.85643951;31.31856517;32.15135697;33.17521907;33.88069248;34.36173539;34.7475034;34.89166327;34.82224015;34.60223241;34.2467357
Population ages 80 and above, male (% of male population);SP.POP.80UP.MA.5Y;0.507529322;0.499064039;0.488680068;0.47814864;0.469387914;0.461742189;0.455204038;0.450147298;0.444480688;0.435583811;0.42342181;0.409418108;0.394463347;0.379366811;0.365322516;0.353091362;0.342526764;0.332782083;0.32394728;0.317883629;0.314895717;0.309380087;0.30696408;0.310384002;0.31308404;0.314846395;0.315991707;0.316789263;0.317404051;0.318169881;0.315659241;0.313628259;0.316198397;0.322727543;0.328894504;0.33215569;0.33659999;0.340273821;0.344120291;0.351999601;0.362965608;0.37708651;0.397863827;0.420247953;0.439144508;0.457337949;0.475004668;0.492417736;0.510840508;0.528774968;0.546131663;0.566609337;0.589357209;0.612996431;0.634878001;0.654782759;0.678782561;0.70726999;0.737083699;0.76709398;0.797540331;0.809806434;0.810042046
Population ages 70-74, male (% of male population);SP.POP.7074.MA.5Y;1.323645291;1.267827299;1.202095799;1.13439985;1.075766544;1.029517711;0.992445108;0.962250705;0.939914805;0.927850014;0.925007557;0.93127858;0.946744243;0.965061633;0.977953935;0.982825207;0.981431091;0.973237964;0.959035022;0.943016703;0.926801248;0.904553408;0.883674821;0.868337794;0.85373072;0.841540894;0.831186787;0.820979588;0.815134004;0.822109606;0.838280251;0.865383306;0.909230534;0.963782413;1.012563981;1.046319763;1.066740203;1.072844052;1.072938987;1.077581925;1.089551245;1.106208039;1.132802492;1.163983299;1.191644942;1.217735189;1.244253685;1.272320759;1.299732409;1.323002477;1.341549822;1.358628631;1.374228259;1.390438444;1.408835097;1.433464493;1.475180671;1.533275796;1.60250441;1.710293695;1.850408171;1.976852277;2.089947482
Population ages 65 and above, male (% of male population);SP.POP.65UP.MA.ZS;4.236677184;4.100625874;3.966118446;3.840756107;3.735224176;3.648743876;3.580780177;3.531071133;3.492690683;3.458289122;3.425125016;3.395136486;3.36849119;3.342570146;3.316225429;3.288423183;3.261256072;3.232288699;3.196214096;3.156071471;3.115632138;3.052516702;2.989273012;2.948977101;2.926435593;2.924643273;2.942498376;2.980499294;3.029890098;3.080781319;3.111969125;3.138511678;3.180987715;3.24449675;3.317713849;3.385490878;3.45659534;3.528213904;3.600393377;3.673021904;3.744074336;3.814279004;3.902149452;3.989883099;4.060137913;4.12959295;4.201212354;4.278984427;4.365102903;4.45736851;4.556429067;4.673872107;4.806267517;4.947456435;5.117036827;5.310379272;5.528751913;5.773452173;6.030538064;6.305793524;6.594220345;6.844879034;7.074277821
Population ages 65-69, male (% of male population);SP.POP.6569.MA.5Y;1.621134518;1.560745599;1.51041479;1.472508314;1.450905105;1.442963045;1.448711832;1.468698444;1.493486011;1.510461345;1.515739404;1.511850302;1.499360126;1.48057801;1.459991609;1.439027829;1.418610985;1.398433106;1.376288342;1.35274433;1.330428483;1.300013547;1.268618036;1.249277722;1.247326645;1.263654886;1.297354268;1.349917536;1.408724115;1.455104973;1.475634555;1.47942935;1.476696223;1.476401204;1.483124831;1.494017636;1.513553741;1.541663171;1.575188395;1.607826448;1.636460127;1.663892302;1.697683904;1.728512361;1.747101387;1.761034845;1.772407476;1.783603595;1.799140596;1.825630942;1.865994126;1.921923399;1.991325902;2.069592832;2.18202042;2.31998552;2.45971461;2.601670273;2.740324691;2.85095;2.932579363;3.007537828;3.084127402
Population ages 55-59, male (% of male population);SP.POP.5559.MA.5Y;2.847071486;2.834605783;2.802688976;2.757727737;2.710243186;2.663297439;2.617692713;2.575753542;2.535892477;2.496186843;2.460437114;2.427184498;2.391404851;2.364545316;2.36805998;2.402338003;2.465527535;2.559885916;2.659795956;2.727231512;2.753423697;2.726245462;2.664999193;2.600670362;2.544754823;2.506247178;2.482249976;2.473738816;2.475300627;2.476951326;2.465489967;2.454136053;2.455309591;2.466318741;2.474171967;2.47163638;2.46789493;2.463699829;2.464783383;2.481646399;2.520014883;2.579208508;2.664528957;2.767711018;2.921467403;3.122601324;3.317478212;3.504229648;3.683088914;3.815313651;3.904599428;3.996836476;4.091989844;4.184167449;4.256993952;4.303034913;4.348782491;4.39766311;4.440008098;4.473910705;4.498856279;4.543300389;4.603727519
Population ages 45-49, male (% of male population);SP.POP.4549.MA.5Y;3.82819553;3.768746295;3.704597681;3.654077685;3.652456669;3.700494444;3.794983948;3.940711525;4.100958762;4.216260397;4.27133105;4.270828411;4.213035396;4.123949448;4.043333915;3.984867572;3.941998331;3.915135662;3.895702295;3.864750282;3.81604492;3.771372685;3.726874015;3.667550019;3.599038514;3.524243115;3.446594183;3.370515722;3.306657696;3.269202229;3.275505293;3.314626528;3.373389032;3.448888341;3.60258732;3.827521321;4.050444884;4.268674698;4.480594464;4.635228424;4.739363473;4.846836131;4.964715495;5.086458729;5.200612683;5.301661421;5.380071809;5.440022051;5.483948586;5.511967533;5.538498464;5.579211979;5.628670867;5.678933447;5.719481943;5.80151127;5.942602394;6.066131855;6.149334059;6.220458609;6.304346467;6.410543125;6.567717239
Population ages 35-39, male (% of male population);SP.POP.3539.MA.5Y;6.102893406;6.092917689;5.999505887;5.86076414;5.738475458;5.652480503;5.592749763;5.558358633;5.537202935;5.505473379;5.454049458;5.395533704;5.335490006;5.266557729;5.176862447;5.070591566;4.9426912;4.800197175;4.669434473;4.566556891;4.504697557;4.583992388;4.693573708;4.741094992;4.886779643;5.104843043;5.304255614;5.487541968;5.657432038;5.755918528;5.839858398;5.938787185;6.006653723;6.038579131;6.078467077;6.151733395;6.212366672;6.265087846;6.310040415;6.342336928;6.379101719;6.435665711;6.486138169;6.548365453;6.642722829;6.740096396;6.830472179;6.904053636;6.968821796;7.050263628;7.166063481;7.334378189;7.563759447;7.847862415;8.130719652;8.377397553;8.665275179;8.988301425;9.298242527;9.609202397;9.870018011;10.04110932;10.10994453
Population ages 25-29, male (% of male population);SP.POP.2529.MA.5Y;7.370905816;7.275744199;7.18610416;7.087562407;6.967657966;6.828649108;6.667507131;6.485479585;6.311969425;6.183953153;6.122532688;6.120058823;6.171604778;6.271219565;6.512296463;6.862338929;7.1598753;7.410677732;7.638116094;7.734769425;7.723265614;7.920517761;8.096198928;8.07493901;8.061975743;8.035399562;7.978172691;7.901246173;7.809274979;7.71209139;7.756689203;7.838742916;7.808038533;7.645894205;7.505598334;7.510054394;7.540111153;7.594175165;7.675454961;7.790585516;7.956951355;8.202057801;8.459317582;8.798272124;9.273408962;9.772141696;10.22818843;10.6572411;11.0579319;11.37241831;11.59951831;11.7273152;11.7032492;11.53538309;11.24530109;10.86293711;10.45508387;10.03641778;9.564209496;9.01005744;8.40052848;7.786251356;7.233989665
Population ages 15-64 (% of total population);SP.POP.1564.TO.ZS;52.68614684;52.27320485;51.97009518;51.74789052;51.73863434;51.90374997;52.04251596;52.13684404;52.2140133;52.30098208;52.42421143;52.58017163;52.78428985;53.04282681;53.31012172;53.54682448;53.65647314;53.67271194;53.65902346;53.56320531;53.40620227;53.75833283;54.00617247;53.7015826;53.42522675;53.17160995;52.95011757;52.77271156;52.64667875;52.62435722;53.13763871;53.77849308;54.09422429;54.10763089;54.39294802;55.33701076;56.50254657;57.91616053;59.51560713;61.15640055;62.80069081;64.40399394;65.75719383;67.03010339;68.3493672;69.54990699;70.62817198;71.52253513;72.18042496;72.57320812;72.71762536;72.64135489;72.3799468;72.01148206;71.43113203;70.74354432;70.20921863;69.77204736;69.37517737;69.088695;68.89986868;68.81381991;68.81155254
Population ages 15-64, female (% of female population);SP.POP.1564.FE.ZS;52.8386869;52.42727052;52.12522304;51.90001909;51.87362802;52.01715928;52.14235445;52.22641602;52.29109461;52.35951793;52.46313859;52.60219112;52.79119761;53.03931792;53.30373551;53.52754906;53.62715961;53.63861085;53.60492648;53.47451985;53.26782032;53.39797996;53.45597652;53.13613906;52.83692238;52.55560726;52.32239581;52.14610103;52.02106593;51.98851287;52.50200613;53.14962819;53.45881867;53.45178583;53.72508817;54.68669193;55.88527199;57.34370593;58.9951821;60.68726528;62.37789632;64.02429492;65.4109571;66.68409476;67.97870554;69.16094971;70.23057515;71.12280531;71.78752403;72.18901615;72.338107;72.27159726;72.02462365;71.67267097;71.11960384;70.46374886;69.95353407;69.53594503;69.15551403;68.88056206;68.69924125;68.61714248;68.61461114
Population ages 10-14, male (% of male population);SP.POP.1014.MA.5Y;10.59815051;11.119215;11.58423338;11.99580498;12.19951576;12.23039474;12.27339903;12.33772867;12.42174235;12.51226341;12.57275724;12.58419426;12.55827446;12.49723542;12.40274459;12.30613299;12.24841918;12.21285699;12.17047937;12.11983868;12.04983489;11.78000624;11.48828907;11.34166322;11.21607825;11.13927961;11.15714354;11.28508576;11.50829337;11.81130898;12.04503766;12.23669429;12.56979011;13.0885018;13.58050738;13.89288832;14.11795342;14.16502468;14.0182561;13.75184477;13.39212315;12.99339973;12.62956206;12.16697531;11.48180842;10.65704575;9.753569011;8.856486674;8.075246119;7.492467854;7.113660303;6.889324927;6.768615152;6.692255462;6.715689427;6.837173258;6.925151765;6.984853349;7.078042327;7.198532148;7.332050539;7.470942729;7.634212478
Population ages 0-14 (% of total population);SP.POP.0014.TO.ZS;43.01649323;43.53551575;43.94262565;44.26151767;44.35373406;44.25980457;44.179521;44.13140968;44.09288208;44.04028544;43.94903919;43.82013776;43.6384644;43.40145817;43.15872561;42.95314552;42.87861614;42.90292604;42.9658489;43.11160031;43.31401007;43.02721437;42.84143211;43.18129432;43.47441268;43.72389947;43.92106885;44.05372058;44.12225499;44.08506456;43.53724867;42.86644937;42.4978436;42.40263353;42.02458522;40.9985193;39.74433921;38.23893066;36.55062892;34.82071108;33.08798279;31.39974096;29.9416135;28.56247881;27.15871956;25.88095081;24.72657271;23.74748146;22.99998908;22.51257219;22.2626075;22.21405491;22.33387405;22.5529625;22.96607805;23.46932601;23.78736906;23.97488629;24.10614133;24.10619461;23.99247716;23.81111827;23.5657111
Population ages 0-14, female (% of female population);SP.POP.0014.FE.ZS;42.79999401;43.28577342;43.65945277;43.95084389;44.03609938;43.94731085;43.87031141;43.8285635;43.80266958;43.76853141;43.6956212;43.58049482;43.4094313;43.17815594;42.93641996;42.7471217;42.69100873;42.73249387;42.8294642;43.02035085;43.27800464;43.21465578;43.21691691;43.5675373;43.87808792;44.14958746;44.35232341;44.47750808;44.537249;44.50181045;43.95076844;43.27011148;42.8975674;42.80399729;42.4179169;41.35988726;40.05488308;38.48425153;36.72717539;34.92944829;33.13299203;31.38702431;29.87834587;28.47969488;27.08498554;25.8166276;24.66562709;23.68123285;22.9233028;22.42475036;22.16343555;22.09775838;22.19415637;22.3887975;22.77767158;23.25914933;23.55574859;23.71901672;23.82553576;23.803102;23.66801642;23.46627532;23.20320107
Life expectancy at birth, male (years);SP.DYN.LE00.MA.IN;44.802;45.382;45.097;46.28;46.857;47.381;47.879;48.505;48.465;49.692;50.311;51.147;51.701;52.666;53.454;54.332;55.165;55.873;55.242;57.489;56.704;52.959;53.965;54.882;58.456;59.021;59.574;59.9;60.453;63.91;62.611;64.537;64.722;65.167;65.346;65.743;65.692;66.031;66.472;66.925;67.337;67.591;68.173;67.61;69.047;69.513;69.847;70.381;70.492;70.543;70.631;71.191;71.641;71.905;72.383;72.67;73.06;73.27;73.519;73.379;72.102;71.246;null
Death rate, crude (per 1,000 people);SP.DYN.CDRT.IN;23.053;22.268;22.157;20.887;20.209;19.593;18.938;18.373;18.141;17.154;16.478;15.706;15.147;14.214;13.594;13.039;12.537;12.072;12.398;11.047;10.95;11.621;10.995;10.42;9.219;8.78;8.373;8.071;7.668;6.686;7.176;6.207;6.015;5.821;5.661;5.514;5.415;5.357;5.311;5.18;5.15;5.168;5.1;5.459;5.007;4.97;4.911;4.838;5.041;5.127;5.108;4.978;4.892;4.911;4.905;4.842;4.726;4.692;4.715;4.872;5.567;6.437;null
Adolescent fertility rate (births per 1,000 women ages 15-19);SP.ADO.TFRT;106.43;105.209;104.05;104.333;102.743;101.032;100.367;106.518;112.143;116.896;119.454;121.142;121.763;122.885;124.97;127.995;133.291;135.34;138.33;142.69;142.827;142.084;140.704;137.871;134.528;129.361;122.292;111.823;102.205;94.044;85.872;75.329;69.624;62.178;51.797;46.965;42.741;39.719;38.016;36.898;35.483;34.432;33.655;33.229;33.222;33.331;33.917;34.106;34.128;34.439;34.998;36.442;39.277;40.234;39.594;37.97;37.001;39.664;37.878;33.325;30.776;30.155;null
DEC alternative conversion factor (LCU per US$);PA.NUS.ATLS;75.75000008;75.75000008;75.75000008;75.75000008;75.75000008;75.75000008;75.75000008;75.75000008;75.75000008;75.75000008;75.75000008;75.74999258;75.75;68.882;67.625;68.166;70.535;70.579;70.475;70.475;71.575;80.027;84.452;87.228;91.902;87.733;76.55;144.91;177.97;226;304.347;null;null;1665;1945;2047;2246;2779.5;3206;4172;5731;5819;7958;8193.8896;8613.9893;8963.9589;9170.9429;9281.1518;9428.5283;9864.3025;10344.56347;11013.63204;12259.69167;21581.82857;26618.51792;29650.92371;31463.57817;34392.48285;65597.81338;96471.20902;170151.6009;185951.2054;258985.309
